enhancerID	ctrl_1	ctrl_2	ctrl_3	krab_1	krab_2	krab_3	genes	gene1	gene2	A498_baseMean	A498_log2FoldChange	A498_lfcSE	A498_stat	A498_pvalue	A498_padj	A498_enhancerID
chr1_110075433_110075452_enh-1003163_39	6.65782359611443	6.02955206640512	6.72033857522304	6.06662649549322	5.79658878986002	6.07385112470265	AMIGO1 (-23139), GPR61 (-7051)	AMIGO1	GPR61	81.7829508010717	-1.13593527566933	0.477135824111028	-2.38073776536428	0.0172780067965244	0.44643906450139	chr1_110075433_110075452_enh-1003163_39
chr1_110075445_110075464_enh-1003163_34	6.37830554752426	6.6482439410058	6.78635554764777	5.95937313308711	6.23319888913446	5.84372736125145	AMIGO1 (-23151), GPR61 (-7039)	AMIGO1	GPR61	86.0826628395674	-1.26065438743295	0.432259602710632	-2.9164288763687	0.00354063437472816	0.268117228477464	chr1_110075445_110075464_enh-1003163_34
chr1_181111457_181111476_enh-1004647_1	6.68155616074532	6.4984310071945	6.95464653634667	6.22498536173343	6.1850742052904	6.1056914522852	CACNA1E (-341414), MR1 (+108328)	CACNA1E	MR1	92.811597695596	-1.13240256371587	0.397202789945334	-2.85094312623465	0.00435897654572991	0.28971022828293	chr1_181111457_181111476_enh-1004647_1
chr1_21197670_21197689_enh-1000735_2	8.13661152637068	7.93837582153252	8.03445340746899	6.94754173332915	7.52861157071827	6.41494507643526	HP1BP3 (-84499), EIF4G3 (+305663)	HP1BP3	EIF4G3	211.07990687492	-1.46291429479491	0.36924568527806	-3.96189949706052	7.43558407246868e-05	0.0392855688087357	chr1_21197670_21197689_enh-1000735_2
chr1_21198012_21198031_enh-1000735_18	6.83317409758727	7.21449416481328	6.81445042174427	6.35677035857496	5.85741642619738	6.75015620554544	HP1BP3 (-84841), EIF4G3 (+305321)	HP1BP3	EIF4G3	110.264571312059	-1.08710342709715	0.463484073074045	-2.3455033090716	0.019001409920576	0.452610182064601	chr1_21198012_21198031_enh-1000735_18
chr1_215810300_215810319_enh-1005668_18	6.50595780113892	6.41230386395262	6.72549632600842	6.23558090027062	5.7182309620374	6.00130474178756	KCTD3 (+69575), USH2A (+786428)	KCTD3	USH2A	83.1693031263226	-1.17935825940988	0.451553736587093	-2.61177831972698	0.00900726384566126	0.374748892522086	chr1_215810300_215810319_enh-1005668_18
chr1_224352252_224352271_enh-1005932_1	5.08243262148375	4.89568330660429	5.2423562314414	4.5196083975843	4.62744637196058	4.80259329544664	TP53BP2 (-318588), DEGS1 (-18611)	TP53BP2	DEGS1	32.0474376657128	-1.83819536321791	0.746713665936978	-2.46171383633557	0.0138274942931872	0.415667968691542	chr1_224352252_224352271_enh-1005932_1
chr1_224352618_224352637_enh-1005932_1	7.41327656630046	7.4934708316713	6.84059323071996	6.57879852796858	6.63672667990617	6.37842217483568	TP53BP2 (-318954), DEGS1 (-18245)	TP53BP2	DEGS1	131.32388383482	-1.30853108549824	0.374691445066043	-3.49228972993392	0.000478898483113644	0.102882339705171	chr1_224352618_224352637_enh-1005932_1
chr1_228688836_228688855_enh-1006092_14	4.44534346004543	4.31771517319483	4.26763104372157	4.10015649751079	4.11695714539778	4.0189186039615	RHOU (-181978), RNF187 (+14084)	RHOU	RNF187	19.6611386116855	-2.01800300133867	0.917007211751932	-2.20064027357353	0.0277615001206184	0.522490385773926	chr1_228688836_228688855_enh-1006092_14
chr1_228689038_228689057_enh-1006092_5	5.44374411030133	5.59442793911934	5.47518855306077	5.15815807897854	4.94290313132288	5.10569475951748	RHOU (-181776), RNF187 (+14286)	RHOU	RNF187	41.64578133099	-1.48166600373346	0.588006836087852	-2.51981084708358	0.0117417913302676	0.394777845320663	chr1_228689038_228689057_enh-1006092_5
chr1_228689127_228689146_enh-1006092_6	6.7958625304861	6.80710218211609	6.60642820717759	6.59403284217935	6.17858430739042	5.77430710858644	RHOU (-181687), RNF187 (+14375)	RHOU	RNF187	95.5814993328626	-1.00110922019303	0.468180077659338	-2.1382994876631	0.0324924441246286	0.538364846691214	chr1_228689127_228689146_enh-1006092_6
chr1_232715110_232715129_enh-1006245_4	7.30891038989087	6.96453882006288	6.9006149044536	6.58351369112671	6.4631692606046	6.27317943890918	MAP10 (-225523), SIPA1L2 (-17816)	MAP10	SIPA1L2	115.684051334568	-1.15286233740588	0.369962982803807	-3.11615591556966	0.00183225368281087	0.206966328418149	chr1_232715110_232715129_enh-1006245_4
chr1_232732545_232732564_enh-1006245_5	7.27209668897925	7.55797340294639	6.91219926629413	6.8829115947001	6.78028395592873	6.29807344509872	MAP10 (-208088), SIPA1L2 (-35251)	MAP10	SIPA1L2	134.591178573706	-1.02579117312837	0.396265997188307	-2.58864293279475	0.00963549495013622	0.385199459287612	chr1_232732545_232732564_enh-1006245_5
chr1_232902257_232902276_enh-1006257_9	5.96315873571398	6.30243176853936	6.2712744791026	5.73692137280794	5.63499781979497	5.3997221040495	SIPA1L2 (-204963), MAP10 (-38376)	SIPA1L2	MAP10	64.8630920512882	-1.48315264797778	0.492768831366604	-3.00983453816373	0.00261390043969957	0.237517498673025	chr1_232902257_232902276_enh-1006257_9
chr1_23720970_23720989_enh-1000849_3	6.17670180846283	6.56227772485475	6.72027294692084	5.72682634163241	6.28354772398107	6.01092346696946	ZNF436 (-25045), TCEA3 (+30253)	ZNF436	TCEA3	82.2993294627002	-1.03119387258158	0.478685028858403	-2.15422210934993	0.0312227577992723	0.538364846691214	chr1_23720970_23720989_enh-1000849_3
chr1_25283066_25283085_enh-1000914_6	7.0839235869842	7.15534567791447	6.73507142494164	6.66455709956752	6.40717770156633	6.28479287621306	RUNX3 (+8425), CLIC4 (+211228)	RUNX3	CLIC4	112.291485037615	-1.00830028812454	0.381467880743011	-2.64321149702198	0.00821237193861185	0.367426255875381	chr1_25283066_25283085_enh-1000914_6
chr1_31914049_31914068_enh-1001175_10	5.06520775484819	4.97665138644694	5.09677470765198	4.53161227610845	4.84300984886295	4.68980894072249	TINAGL1 (-128077), SERINC2 (+31647)	TINAGL1	SERINC2	31.1658158277988	-1.52669865234017	0.736004193051059	-2.07430700362091	0.0380508077891529	0.561648150899771	chr1_31914049_31914068_enh-1001175_10
