enhancerID	ctrl_1	ctrl_2	ctrl_3	krab_1	krab_2	krab_3	genes	gene1	gene2	X786O_baseMean	X786O_log2FoldChange	X786O_lfcSE	X786O_stat	X786O_pvalue	X786O_padj	X786O_enhancerID
chr1_110075229_110075248_enh-1003163_28	5.9183371857757	6.0873279416205	5.97798014193889	5.22419888596293	5.52487348250096	5.459233615075	AMIGO1 (-22935), GPR61 (-7255)	AMIGO1	GPR61	57.0107187035942	-1.63306148104285	0.733434410239329	-2.22659512322303	0.0259743451889972	0.313958531210928	chr1_110075229_110075248_enh-1003163_28
chr1_110075315_110075334_enh-1003163_23	6.1402672052646	6.57719322449058	6.44845763740994	5.46944895123714	5.45651755641958	5.42169123355291	AMIGO1 (-23021), GPR61 (-7169)	AMIGO1	GPR61	73.1156715198166	-2.31934777792567	0.654344833663304	-3.54453440847232	0.000393307164913179	0.038484793938211	chr1_110075315_110075334_enh-1003163_23
chr1_154959438_154959457_enh-1003792_1	5.17267769005552	4.94802862774481	4.90079909836719	4.57065900548852	4.28875221978819	4.40120596432402	LENEP (-6616), FLAD1 (+3599)	LENEP	FLAD1	30.7817667079791	-2.9006719507164	1.18977378351576	-2.43800291358325	0.014768654971592	0.24670903531482	chr1_154959438_154959457_enh-1003792_1
chr1_171567092_171567111_enh-1004329_3	6.53983423623332	6.00772802250995	6.40880513464532	5.47235250892494	5.88085330256235	5.67749765752615	MYOC (+54709), PRRC2C (+112407)	MYOC	PRRC2C	71.9026742232023	-1.55138791882584	0.696093805395959	-2.22870525035539	0.0258335226960374	0.313789264915138	chr1_171567092_171567111_enh-1004329_3
chr1_171577970_171577989_enh-1004329_9	6.1069077086648	5.86178815871009	6.03733652489658	5.56276716468756	5.4894488083713	5.31507193654563	MYOC (+43831), PRRC2C (+123285)	MYOC	PRRC2C	57.5566493990491	-1.50559575032214	0.720373926407895	-2.09001977324431	0.036616023518487	0.364918716376225	chr1_171577970_171577989_enh-1004329_9
chr1_171578107_171578126_enh-1004329_9	6.31352324885286	5.518106152813	6.56229325387935	4.96686122378476	5.17301594263698	5.26957112976038	MYOC (+43694), PRRC2C (+123422)	MYOC	PRRC2C	67.5704885600511	-2.74246090636431	0.802871406957401	-3.41581588607978	0.000635912263507733	0.0540700848054265	chr1_171578107_171578126_enh-1004329_9
chr1_181111520_181111539_enh-1004647_13	8.06963751425814	8.34267234493947	8.1228090191774	7.20668100109826	7.11302536142758	6.98564199245053	CACNA1E (-341351), MR1 (+108391)	CACNA1E	MR1	228.539865839703	-1.63633450893444	0.401624245236356	-4.07429214830258	4.61545132122853e-05	0.0131158247185308	chr1_181111520_181111539_enh-1004647_13
chr1_21197670_21197689_enh-1000735_2	7.58876995501095	7.73993993500441	8.23037530626372	7.41316612013154	6.9737971506399	6.78499401375448	HP1BP3 (-84499), EIF4G3 (+305663)	HP1BP3	EIF4G3	196.299893415976	-1.23640488922419	0.490763141286281	-2.519351567405	0.0117571199754246	0.224039462406507	chr1_21197670_21197689_enh-1000735_2
chr1_21198063_21198082_enh-1000735_12	7.08307578868305	7.50405235459508	7.32347695180667	6.32648323069963	6.83501922985295	6.151785508509	HP1BP3 (-84892), EIF4G3 (+305270)	HP1BP3	EIF4G3	133.20910387067	-1.45613961487429	0.549051369948746	-2.65210086810314	0.00799926408627243	0.187853194132672	chr1_21198063_21198082_enh-1000735_12
chr1_224352618_224352637_enh-1005932_1	7.59886499500324	7.84980413281596	7.66940690807567	6.28522454288479	7.46515051486346	7.00674425940963	TP53BP2 (-318954), DEGS1 (-18245)	TP53BP2	DEGS1	178.890947207002	-1.08617890160291	0.552591576345038	-1.96560886575061	0.0493438092052397	0.408295183685503	chr1_224352618_224352637_enh-1005932_1
chr1_224357203_224357222_enh-1005932_1	4.01409668518459	4.45257901656049	4.43887527505169	3.76334307677735	3.82223877582254	3.76533352780628	TP53BP2 (-323539), DEGS1 (-13660)	TP53BP2	DEGS1	20.3566838505328	-5.40850250824727	1.64250906546271	-3.29282962388012	0.000991845585966358	0.0686407171365761	chr1_224357203_224357222_enh-1005932_1
chr1_231939402_231939421_enh-1006208_11	3.97878251370635	4.19887960062303	3.80543688164717	3.58459500794401	3.58626074558517	3.68307642360479	DISC1 (+176851), SIPA1L2 (+757892)	DISC1	SIPA1L2	16.2591837954932	-4.03300123982814	1.64101037957936	-2.457632986369	0.0139856019347961	0.241158722033707	chr1_231939402_231939421_enh-1006208_11
