chr 	start	end	enhancerID	Gene	Type	q-value	rho
chr1	1890700	1893300	enh-1000058	GABRD	protein_coding	0.047570637	0.566917293
chr1	1890700	1893300	enh-1000058	C1orf222	protein_coding	0.018986402	0.667669173
chr1	3384250	3391800	enh-1000085	GABRD	protein_coding	0.02358024	0.645112782
chr1	3384250	3391800	enh-1000085	HES5	protein_coding	0.022039155	0.652631579
chr1	3384250	3391800	enh-1000085	C1orf222	protein_coding	0.018986402	0.667669173
chr1	3384250	3391800	enh-1000085	ARHGEF16	protein_coding	0.034170251	0.604511278
chr1	3393250	3402050	enh-1000086	GABRD	protein_coding	0.008831206	0.738345865
chr1	3393250	3402050	enh-1000086	HES5	protein_coding	0.022639745	0.64962406
chr1	3393250	3402050	enh-1000086	C1orf222	protein_coding	0.005847473	0.766917293
chr1	3393250	3402050	enh-1000086	TNFRSF14	protein_coding	0.048814002	0.563909774
chr1	7979600	7981600	enh-1000179	TNFRSF9	protein_coding	0.013663988	0.70075188
chr1	9031050	9032050	enh-1000257	C1orf200	protein_coding	0.044626652	0.566265702
chr1	9042950	9050400	enh-1000259	H6PD	protein_coding	0.049409474	0.562406015
chr1	9069200	9075450	enh-1000262	CA6	protein_coding	0.024720701	0.629177766
chr1	9219900	9230550	enh-1000278	H6PD	protein_coding	0.013900251	0.69924812
chr1	9338200	9345250	enh-1000285	SLC2A5	protein_coding	0.049409474	0.562406015
chr1	9338200	9345250	enh-1000285	H6PD	protein_coding	0.036966008	0.595488722
chr1	9685550	9692100	enh-1000304	H6PD	protein_coding	0.030765927	0.616541353
chr1	15583850	15592600	enh-1000508	EFHD2	protein_coding	0.005833616	0.768421053
chr1	15840200	15843250	enh-1000528	NECAP2	protein_coding	0.010814947	0.723308271
chr1	15896750	15908150	enh-1000533	NECAP2	protein_coding	0.034541136	0.603007519
chr1	15999550	16003700	enh-1000535	FAM131C	protein_coding	0.034541136	0.603007519
chr1	15999550	16003700	enh-1000535	CELA2B	protein_coding	0.045773262	0.563609801
chr1	16016200	16037950	enh-1000536	ZBTB17	protein_coding	0.006706423	0.759398496
chr1	16016200	16037950	enh-1000536	EPHA2	protein_coding	0.015038084	0.691729323
chr1	16016200	16037950	enh-1000536	FBXO42	protein_coding	0.032370458	0.610526316
chr1	16016200	16037950	enh-1000536	NECAP2	protein_coding	0.018986402	0.667669173
chr1	16513050	16519150	enh-1000568	NECAP2	protein_coding	0.039468134	0.587969925
chr1	17451650	17458250	enh-1000597	RCC2	protein_coding	0.036966008	0.595488722
chr1	17451650	17458250	enh-1000597	PADI1	protein_coding	0.005847473	0.766917293
chr1	17466100	17470150	enh-1000600	RCC2	protein_coding	0.049409474	0.562406015
chr1	17493000	17500250	enh-1000603	RCC2	protein_coding	0.034541136	0.603007519
chr1	17493000	17500250	enh-1000603	PADI1	protein_coding	0.018986402	0.667669173
chr1	17507400	17514000	enh-1000605	RCC2	protein_coding	0.02330238	0.646616541
chr1	17507400	17514000	enh-1000605	PADI1	protein_coding	0.007105047	0.753383459
chr1	17524750	17529600	enh-1000606	PADI3	protein_coding	0.043305504	0.569955427
chr1	17524750	17529600	enh-1000606	RCC2	protein_coding	0.024254752	0.642105263
chr1	17524750	17529600	enh-1000606	PADI1	protein_coding	0.032370458	0.610526316
chr1	17514050	17524250	enh-1000609	PADI3	protein_coding	0.026175801	0.623293502
chr1	17514050	17524250	enh-1000609	RCC2	protein_coding	0.046246048	0.569924812
chr1	17514050	17524250	enh-1000609	PADI1	protein_coding	0.00217044	0.807518797
chr1	20438600	20439150	enh-1000693	PLA2G2D	protein_coding	0.03199025	0.612030075
chr1	21196250	21200000	enh-1000735	DDOST	protein_coding	0.015269289	0.690225564
chr1	21415350	21418400	enh-1000749	DDOST	protein_coding	0.017593897	0.67518797
chr1	21415350	21418400	enh-1000749	SH2D5	protein_coding	0.047570637	0.566917293
chr1	23718150	23723500	enh-1000849	MDS2	protein_coding	0.043351194	0.569387028
chr1	23718150	23723500	enh-1000849	RPL11	protein_coding	0.032784851	0.609022556
chr1	23718150	23723500	enh-1000849	E2F2	protein_coding	0.016552328	0.681203008
chr1	24526800	24530800	enh-1000885	RUNX3	protein_coding	0.042725569	0.578947368
chr1	24609450	24619200	enh-1000890	RUNX3	protein_coding	0.037517168	0.593984962
chr1	24687450	24693150	enh-1000893	RUNX3	protein_coding	0.03805783	0.592481203
chr1	25008900	25016800	enh-1000905	RUNX3	protein_coding	0.039956355	0.586466165
chr1	25028700	25037900	enh-1000907	RUNX3	protein_coding	0.012486915	0.709774436
chr1	25050150	25058250	enh-1000909	RUNX3	protein_coding	0.016156947	0.684210526
chr1	25278500	25285850	enh-1000914	RUNX3	protein_coding	0.007704698	0.747368421
chr1	25295300	25301000	enh-1000915	RUNX3	protein_coding	0.013463388	0.702255639
chr1	25405950	25407450	enh-1000918	RUNX3	protein_coding	0.042725569	0.578947368
chr1	26908200	26910250	enh-1000969	ZDHHC18	protein_coding	0.04104761	0.583458647
chr1	27122850	27129700	enh-1000980	ZDHHC18	protein_coding	0.034919515	0.601503759
chr1	27859350	27878400	enh-1001023	FGR	protein_coding	0.034170251	0.604511278
chr1	27859350	27878400	enh-1001023	WASF2	protein_coding	0.017593897	0.67518797
chr1	28204700	28205900	enh-1001031	RAB42	protein_coding	0.013258548	0.703759398
chr1	28204700	28205900	enh-1001031	PTAFR	protein_coding	0.017899231	0.673684211
chr1	28204700	28205900	enh-1001031	TRNAU1AP	protein_coding	0.02040315	0.660150376
chr1	28204700	28205900	enh-1001031	RCC1	protein_coding	0.006787696	0.757894737
chr1	28619650	28625300	enh-1001056	RPA2	protein_coding	0.022958796	0.648120301
chr1	28619650	28625300	enh-1001056	TRNAU1AP	protein_coding	0.015269289	0.690225564
chr1	28619650	28625300	enh-1001056	TAF12	protein_coding	0.035494353	0.6
chr1	28926650	28930000	enh-1001080	THEMIS2	protein_coding	0.021391354	0.655639098
chr1	28926650	28930000	enh-1001080	RAB42	protein_coding	0.007908646	0.745864662
chr1	28926650	28930000	enh-1001080	RPA2	protein_coding	0.032784851	0.609022556
chr1	28926650	28930000	enh-1001080	TRNAU1AP	protein_coding	0	0.842105263
chr1	28926650	28930000	enh-1001080	RCC1	protein_coding	0.012078417	0.712781955
chr1	29296100	29301650	enh-1001094	EPB41	protein_coding	0.033152498	0.607518797
chr1	30180650	30186450	enh-1001117	PTPRU	protein_coding	0.039468134	0.587969925
chr1	31250100	31259550	enh-1001138	SDC3	protein_coding	0.006346942	0.762406015
chr1	31250100	31259550	enh-1001138	NKAIN1	protein_coding	0.009534849	0.732330827
chr1	31390000	31393550	enh-1001151	SDC3	protein_coding	0.008831206	0.738345865
chr1	31390000	31393550	enh-1001151	NKAIN1	protein_coding	0.01552578	0.688721805
chr1	31869200	31870750	enh-1001172	NKAIN1	protein_coding	0.043838331	0.57593985
chr1	31914800	31919950	enh-1001175	NKAIN1	protein_coding	0.005079262	0.77593985
chr1	32565300	32568100	enh-1001214	KHDRBS1	protein_coding	0.049409474	0.562406015
chr1	33262600	33267550	enh-1001257	TMEM54	protein_coding	0.020787056	0.658646617
chr1	33262600	33267550	enh-1001257	YARS	protein_coding	0.04104761	0.583458647
chr1	33262600	33267550	enh-1001257	HPCA	protein_coding	0.027576535	0.628571429
chr1	33262600	33267550	enh-1001257	PHC2	protein_coding	0.022039155	0.652631579
chr1	33384850	33389150	enh-1001265	TMEM54	protein_coding	0.018986402	0.667669173
chr1	33384850	33389150	enh-1001265	HPCA	protein_coding	0.022958796	0.648120301
chr1	33384850	33389150	enh-1001265	HDAC1	protein_coding	0.030765927	0.616541353
chr1	33384850	33389150	enh-1001265	CSMD2	protein_coding	0.02896804	0.622556391
chr1	33396650	33407650	enh-1001267	TMEM54	protein_coding	0.024606291	0.640601504
chr1	33396650	33407650	enh-1001267	LCK	protein_coding	0.024606291	0.640601504
chr1	33396650	33407650	enh-1001267	MARCKSL1	protein_coding	0.01162641	0.717293233
chr1	33396650	33407650	enh-1001267	YARS	protein_coding	0.02008924	0.661654135
chr1	33396650	33407650	enh-1001267	HPCA	protein_coding	0.011065088	0.721804511
