enhancerID	genes
chr1_110075226_110075245_enh-1003163_32	"AMIGO1 (-22932), GPR61 (-7258)"
chr1_110075229_110075248_enh-1003163_28	"AMIGO1 (-22935), GPR61 (-7255)"
chr1_110075243_110075262_enh-1003163_17	"AMIGO1 (-22949), GPR61 (-7241)"
chr1_110075258_110075277_enh-1003163_25	"AMIGO1 (-22964), GPR61 (-7226)"
chr1_110075259_110075278_enh-1003163_12	"AMIGO1 (-22965), GPR61 (-7225)"
chr1_110075259_110075278_enh-1003163_3	"AMIGO1 (-22965), GPR61 (-7225)"
chr1_110075266_110075285_enh-1003163_39	"AMIGO1 (-22972), GPR61 (-7218)"
chr1_110075267_110075286_enh-1003163_9	"AMIGO1 (-22973), GPR61 (-7217)"
chr1_110075274_110075293_enh-1003163_19	"AMIGO1 (-22980), GPR61 (-7210)"
chr1_110075275_110075294_enh-1003163_11	"AMIGO1 (-22981), GPR61 (-7209)"
chr1_110075280_110075299_enh-1003163_38	"AMIGO1 (-22986), GPR61 (-7204)"
chr1_110075281_110075300_enh-1003163_36	"AMIGO1 (-22987), GPR61 (-7203)"
chr1_110075283_110075302_enh-1003163_34	"AMIGO1 (-22989), GPR61 (-7201)"
chr1_110075284_110075303_enh-1003163_20	"AMIGO1 (-22990), GPR61 (-7200)"
chr1_110075285_110075304_enh-1003163_31	"AMIGO1 (-22991), GPR61 (-7199)"
chr1_110075296_110075315_enh-1003163_30	"AMIGO1 (-23002), GPR61 (-7188)"
chr1_110075297_110075316_enh-1003163_29	"AMIGO1 (-23003), GPR61 (-7187)"
chr1_110075308_110075327_enh-1003163_16	"AMIGO1 (-23014), GPR61 (-7176)"
chr1_110075311_110075330_enh-1003163_26	"AMIGO1 (-23017), GPR61 (-7173)"
chr1_110075315_110075334_enh-1003163_23	"AMIGO1 (-23021), GPR61 (-7169)"
chr1_110075315_110075334_enh-1003163_37	"AMIGO1 (-23021), GPR61 (-7169)"
chr1_110075316_110075335_enh-1003163_6	"AMIGO1 (-23022), GPR61 (-7168)"
chr1_110075323_110075342_enh-1003163_33	"AMIGO1 (-23029), GPR61 (-7161)"
chr1_110075330_110075349_enh-1003163_8	"AMIGO1 (-23036), GPR61 (-7154)"
chr1_110075331_110075350_enh-1003163_21	"AMIGO1 (-23037), GPR61 (-7153)"
chr1_110075332_110075351_enh-1003163_1	"AMIGO1 (-23038), GPR61 (-7152)"
chr1_110075337_110075356_enh-1003163_24	"AMIGO1 (-23043), GPR61 (-7147)"
chr1_110075339_110075358_enh-1003163_7	"AMIGO1 (-23045), GPR61 (-7145)"
chr1_110075362_110075381_enh-1003163_5	"AMIGO1 (-23068), GPR61 (-7122)"
chr1_110075363_110075382_enh-1003163_13	"AMIGO1 (-23069), GPR61 (-7121)"
chr1_110075364_110075383_enh-1003163_35	"AMIGO1 (-23070), GPR61 (-7120)"
chr1_110075371_110075390_enh-1003163_2	"AMIGO1 (-23077), GPR61 (-7113)"
chr1_110075373_110075392_enh-1003163_27	"AMIGO1 (-23079), GPR61 (-7111)"
chr1_110075375_110075394_enh-1003163_14	"AMIGO1 (-23081), GPR61 (-7109)"
chr1_110075376_110075395_enh-1003163_18	"AMIGO1 (-23082), GPR61 (-7108)"
chr1_110075398_110075417_enh-1003163_15	"AMIGO1 (-23104), GPR61 (-7086)"
